Time	rx_bytes	rx_packets	tx_bytes	tx_packets	wtime	pss	rss	swap	vmem	nprocs	nthreads	rchar	read_bytes	wchar	write_bytes	stime	utime
1678046148	75	1	333	2	1	71668	74452	0	2772004	1	64	10995491	0	0	0	6	2
1678046150	596883	1487	208562	1576	3	3980609	9287024	0	324589668	65	424	39371634	0	565716	4096	17	50
1678046152	17258834	19979	2428740	15563	5	4828957	9654168	0	328539304	65	413	50686848	0	1670164	4096	18	100
1678046154	29440462	32833	3854792	24971	7	4914081	9739008	0	328618268	65	443	62770372	0	2778328	4096	18	151
1678046156	44575859	48345	5550122	36030	9	5037326	9861948	0	328738276	65	416	76321737	0	4072005	4096	19	216
1678046158	59664368	63700	7226647	46910	11	4986972	9811404	0	328682756	65	421	89758534	0	5389481	4096	20	274
1678046160	73360714	77192	8666836	56085	13	5030148	9854528	0	328723872	65	414	102282938	0	6680409	4096	21	327
1678046162	80818816	84911	9524181	61944	15	211543	214444	0	4701004	1	1	105663148	0	7346557	4096	33	343
1678046164	688169888	490119	11740778	83303	17	9084244	17907780	0	335508648	65	451	1569616509	0	7746778	4096	39	388
1678046167	3020589198	2032703	16534071	135783	19	15579269	24430388	0	341229556	65	451	3898812131	0	8856709	4096	45	472
1678046169	5563360329	3713739	21394629	189726	21	19911836	26960272	0	343601820	65	451	5743113425	0	10008970	4096	52	555
1678046171	7337092939	4887009	24843974	227411	23	18902799	24567724	0	341142152	65	451	8104721469	0	10596151	4096	55	628
1678046173	9621056053	6397550	29034474	273472	25	22662734	28271180	0	344826580	65	450	10449600775	0	11645959	4096	59	702
1678046175	11981050616	7958184	33242974	319731	27	27050409	32658644	0	349212460	65	450	12660281026	0	12656952	4096	63	779
1678046177	14543281189	9652397	37935180	371408	29	31680533	37288412	0	353822868	65	451	14851505373	0	13743974	4096	67	855
1678046179	17076924793	11327825	42582298	422943	31	36663295	42270616	0	358789396	65	451	17177238534	0	14874300	4096	70	935
1678046181	19117811893	12677535	46233518	462973	33	37903857	43510792	0	360021816	65	451	19216787502	0	15744604	4096	73	1013
1678046183	21156416338	14025727	49993597	504269	35	35073371	40680004	0	357165552	65	451	21204610894	0	16582433	4096	75	1080
1678046185	23478979575	15561768	54042684	548650	37	34505126	40111488	0	356592504	65	451	23433683026	0	17706287	4096	77	1158
1678046187	25926385840	17180157	58404180	596844	39	34909558	40515740	0	357002996	65	449	25715351276	0	18742874	4096	80	1233
1678046189	28502256536	18883464	63063624	648322	41	36405895	42011908	0	358496596	65	451	28027225167	0	19883036	4096	82	1315
1678046191	30600102849	20270807	66791083	689374	43	34995364	40601240	0	357083848	65	450	29975527150	0	20804797	4096	85	1391
1678046193	32615439919	21603618	70349734	728550	45	33181012	38783848	0	355244496	65	451	32154806133	0	21538250	4096	87	1459
1678046195	35228230137	23331077	74913438	779144	47	33090151	38692872	0	355145500	65	451	34426021440	0	22606837	4096	89	1539
1678046197	37711283506	24973093	79503233	829682	49	34001328	39603952	0	356066184	65	451	36841303259	0	23685240	4096	92	1619
1678046199	40017532822	26497925	83727717	876487	51	35788000	41390480	0	357828936	65	450	39042697688	0	24718494	4096	95	1691
1678046201	42201199310	27942068	87497134	917891	53	37650805	43253176	0	359688916	65	450	41123483621	0	25625538	4096	98	1759
1678046203	44623940432	29544226	91830099	965639	55	37647534	43246232	0	359621944	65	451	43353956394	0	26789277	4096	101	1847
1678046205	47234343035	31270160	96769780	1020485	57	36863366	42471732	0	358345316	65	451	46035286535	0	26946821	4096	106	1937
1678046207	49285789611	32626099	99734403	1054080	59	36521596	42135588	0	357789232	65	451	47446274158	0	27792081	4096	109	2033
1678046209	50953689067	33729154	102326612	1082481	61	35749791	41363672	0	356971312	65	451	49925046699	0	28153296	4096	112	2106
1678046211	53736532853	35568557	106668468	1131367	63	37736383	43350256	0	358921140	65	451	51641857462	0	28869279	4096	116	2214
1678046213	55619634975	36814004	109536951	1162859	65	38438490	44047360	0	359598944	65	451	54222739666	0	29376238	4096	120	2292
1678046215	58286704312	38577070	113767561	1210420	67	41651610	47260452	0	362828904	65	451	56159170229	0	30183885	4096	126	2395
1678046217	59972599552	39691732	116246804	1237697	69	43446794	49055604	0	364614084	65	450	58245433433	0	30571879	4096	129	2459
1678046219	62692644913	41489757	120618649	1286648	71	46809706	52418408	0	367952388	65	450	60399595280	0	31381407	4096	135	2565
1678046221	64561753275	42725779	123480950	1318349	73	47671130	53279692	0	368659640	65	451	62249992857	0	31879576	4096	141	2639
1678046222	66146873926	43773549	126499574	1352075	75	50181348	55788280	0	370925984	65	451	62630184185	0	31890269	4096	141	2644
1678046225	67766305884	44843709	130178050	1394162	77	55817378	61424300	0	376240460	65	449	65065177128	0	32120922	4096	148	2722
