Time	rx_bytes	rx_packets	tx_bytes	tx_packets	wtime	pss	rss	swap	vmem	nprocs	nthreads	rchar	read_bytes	wchar	write_bytes	stime	utime
1678033931	0	0	0	0	1	52328	55264	0	2727636	1	64	7328379	0	0	0	6	1
1678033933	81404	454	51234	532	3	603741	4982012	0	160208976	33	226	39340733	0	163752	4096	14	9
1678033935	40548511	32891	1943489	12794	5	2574566	5336804	0	166945988	33	220	79276436	0	1105563	4096	16	60
1678033937	72448307	57675	3251831	21506	7	2732107	5493248	0	167102944	33	224	106913724	0	1958540	4096	16	96
1678033939	104688289	82365	4500868	29743	9	2639614	5399868	0	167006432	33	209	135683777	0	2764829	4096	17	131
1678033941	134815386	105268	5644377	37125	11	2724858	5484392	0	167086816	33	215	164360277	0	3618557	4096	17	167
1678033943	170094852	131965	6975338	45672	13	2728340	5487260	0	167089176	33	202	196322055	0	4529004	4096	18	205
1678033945	194067362	149876	7836771	51187	15	2786767	5543176	0	167143856	33	210	219549383	0	5232434	4096	18	231
1678033947	217723963	167775	8742926	56989	17	2715189	5471312	0	167070316	33	224	245908034	0	6055088	4096	18	263
1678033949	253311370	194342	10012709	65038	19	2718036	5473788	0	167070572	33	208	275600363	0	6891161	4096	19	299
1678033951	277552941	212522	10887001	70545	21	2733175	5488684	0	167085164	33	214	299649450	0	7601377	4096	19	327
1678033953	323483704	246837	13113498	80904	23	2735587	5490716	0	167083884	33	205	341988709	0	8770017	4096	20	378
1678033955	344349920	262537	14292524	85916	25	2723321	5477448	0	167070780	33	223	366704460	0	9505490	4096	20	406
1678033957	391250111	297392	16731996	96343	27	2721463	5475308	0	167069200	33	223	410351894	0	10790126	4096	21	459
1678033959	436133419	330628	18986702	106313	29	2733768	5487384	0	167080408	33	225	452058655	0	11881306	4096	21	508
1678033961	478785885	362272	21122828	115817	31	2759902	5513380	0	167106264	33	206	491303317	0	12961107	4096	22	556
1678033963	503331088	380437	22429553	121234	33	2770717	5524124	0	167115076	33	206	511825014	0	13604860	4096	22	579
1678033965	527880478	398552	23761912	126639	35	2729335	5480428	0	167068740	33	207	534466958	0	14321697	4096	22	606
1678033967	541471976	408616	24599996	129700	37	2727546	5478624	0	167067204	33	202	547202510	0	14801556	4096	23	621
1678033969	552667435	416852	25271253	132031	39	2723726	5474804	0	167063364	33	206	557931384	0	15223805	4096	23	635
1678033971	566146123	426891	26108329	135103	41	2736338	5487400	0	167075396	33	196	569962574	0	15700825	4096	23	650
1678033973	578233110	435808	26839840	137691	43	2707574	5458624	0	167045444	33	202	581988562	0	16147314	4096	23	664
