nodes,corespernode,partitions,time,test
2,8,8,680.07,0
2,16,16,384.6,0
2,32,32,223.32,0
2,32,32,180.07,1
2,16,16,358.67,1
3,32,64,129.59,0
2,4,4,1175.35,0
3,32,64,95.33,1
2,32,32,172.01,2
3,32,64,98.45,2
2,8,8,640.24,1
2,16,16,297.79,2
2,32,32,175.31,3
3,32,64,89.08,3
5,32,128,75.01,0
3,32,64,97.55,4
2,32,32,173.8,4
3,32,64,98.0,5
2,16,16,265.97,3
3,32,64,98.32,6
2,32,32,173.84,5
9,32,256,55.95,0
2,8,8,521.03,2
3,32,64,149.25,7
5,32,128,426.92,1
2,16,16,244.39,4
5,32,128,56.97,2
2,32,32,183.01,6
3,32,64,93.03,8
5,32,128,53.51,3
9,32,256,242.04,1
5,32,128,53.84,4
3,32,64,92.86,9
9,32,256,40.04,2
5,32,128,53.68,5
2,2,2,2074.28,0
9,32,256,40.64,3
2,4,4,939.05,1
2,32,32,178.86,7
9,32,256,38.05,4
5,32,128,54.34,6
2,16,16,246.13,5
9,32,256,40.41,5
5,32,128,55.24,7
9,32,256,39.95,6
5,32,128,54.95,8
9,32,256,36.31,7
2,32,32,158.91,8
9,32,256,36.11,8
5,32,128,54.54,9
9,32,256,37.62,9
2,8,8,513.59,3
2,16,16,287.75,6
2,32,32,176.41,9
2,16,16,282.95,7
2,8,8,495.8,4
2,16,16,296.65,8
2,4,4,1037.82,2
2,16,16,280.92,9
2,8,8,562.59,5
2,1,1,3614.74,0
2,8,8,569.7,6
2,2,2,1972.53,1
2,4,4,1021.61,3
2,8,8,470.31,7
2,8,8,482.93,8
2,4,4,1180.26,4
2,8,8,533.6,9
2,2,2,1929.58,2
2,4,4,990.07,5
2,1,1,3455.8,1
2,4,4,1312.7,6
2,2,2,2370.57,3
2,4,4,1370.01,7
2,4,4,1554.19,8
2,2,2,2522.88,4
2,1,1,4440.81,2
2,4,4,1366.94,9
2,2,2,2686.34,5
2,1,1,4429.4,3
2,2,2,2809.07,6
2,2,2,2543.77,7
