nodes,corespernode,partitions,time
2,32,64,117.73
1,32,32,199.94
2,32,64,113.42
1,16,16,298.22
2,32,64,108.54
1,32,32,197.12
4,32,128,74.23
2,32,64,109.97
4,32,128,69.0
1,8,8,556.3
1,16,16,304.87
2,32,64,103.04
1,32,32,195.8
2,32,64,113.21
8,32,256,54.29
1,32,32,192.21
8,32,256,55.95
2,32,64,111.16
1,16,16,275.46
8,32,256,53.44
8,32,256,54.02
2,32,64,123.42
1,4,4,1012.27
1,32,32,178.08
8,32,256,56.09
8,32,256,54.15
2,32,64,110.52
8,32,256,56.68
1,16,16,301.23
1,32,32,181.48
8,32,256,55.82
2,32,64,103.04
1,2,2,1907.45
8,32,256,195.36
1,32,32,250.37
1,16,16,327.47
8,32,256,99.13
1,32,32,180.24
1,16,16,287.47
1,32,32,202.06
1,32,32,208.5
1,16,16,301.63
1,16,16,288.33
1,16,16,315.44
1,16,16,324.68
1,1,1,3665.68
1,1,1,4451.76
4,32,128,80.79
4,32,128,92.72
4,32,128,80.07
4,32,128,75.68
4,32,128,79.84
4,32,128,76.99
4,32,128,79.79
4,32,128,75.99
4,32,128,84.34
4,32,128,74.29
1,1,1,4682.66
