Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1677767967	1	243714	246100	0	457888	2601799	0	34572	0	0	0	0	0	0	0	1	1
1677767969	3	415743	582948	0	21005424	59994216	0	156222	4096	15597	205	16179	208	14	4	1	162
1677767971	5	339412	622336	0	21846512	67185305	0	157154	4096	1172501	3101	1173599	3106	14	5	1	176
1677767973	7	342397	629828	0	22363772	67532326	0	169034	4096	18567358	21056	4760039	16171	14	5	1	180
1677767975	9	339617	629920	0	22363772	67833819	0	180914	4096	33435095	36314	6246895	26263	14	5	1	180
1677767977	11	339472	629944	0	22363772	68131227	0	192794	4096	33961269	37131	6328275	26910	14	6	1	180
1677767979	13	339479	629964	0	22363772	68443147	0	204674	4096	34002012	37506	6369612	27288	14	6	1	180
1677767981	15	339459	629984	0	22363772	68747363	0	216950	4096	34051272	38035	6419388	27819	14	6	1	180
1677767983	17	339479	630008	0	22363772	69017218	0	227840	4096	34090432	38394	6459130	28181	14	6	1	180
1677767985	19	339528	630064	0	22363772	69316625	0	239720	4096	427229713	298690	7259309	37174	14	6	1	180
1677767987	21	339576	630112	0	22363772	69613408	0	251600	4096	1400177310	942126	8829473	54792	14	6	1	180
1677767989	23	339604	630140	0	22363772	69914556	0	263480	4096	2336150183	1561120	10317388	71411	14	6	1	180
1677767991	25	339636	630172	0	22363772	70211336	0	275360	4096	3269741485	2178583	11680023	86637	14	7	1	180
1677767993	27	339668	630204	0	22363772	70522581	0	287240	4096	4152045797	2762145	13071753	102233	14	7	1	180
1677767995	29	339696	630232	0	22363772	70819398	0	299120	4096	5100984484	3389778	14635961	119658	14	7	1	180
1677767997	31	339720	630256	0	22363772	71148043	0	311000	4096	6054576143	4020322	16107518	136147	14	7	1	180
1677767999	33	339752	630288	0	22363772	71392213	0	321692	4096	6877692900	4564653	17499271	151755	14	7	1	180
1677768001	35	339784	630320	0	22363772	71691018	0	334100	4096	7812237567	5182720	19038547	169085	14	7	1	180
1677768003	37	339808	630344	0	22364796	71987860	0	346046	4096	8627576675	5722060	20440958	184720	14	7	1	180
1677768005	39	339832	630368	0	22364796	72289147	0	357926	4096	9430127014	6252882	21697688	198677	14	7	1	180
1677768007	41	339856	630392	0	22364796	72586192	0	369806	4096	10284868270	6818206	23109498	214396	14	8	1	180
1677768009	43	339880	630416	0	22364796	72897796	0	381686	4096	11149840396	7390217	24461873	229534	15	8	1	180
1677768011	45	339920	630456	0	22364796	73194922	0	393566	4096	12096764304	8016585	25986345	246525	15	8	1	180
1677768013	47	339936	630472	0	22364796	73523873	0	405446	4096	13020369628	8627459	27464917	262980	15	8	1	180
1677768015	49	339964	630500	0	22364796	73768317	0	416138	4096	13835748262	9166634	28771781	277654	15	8	1	180
1677768017	51	339988	630524	0	22364796	74067436	0	428018	4096	14784686967	9794191	30328066	295096	15	8	1	180
1677768019	53	340016	630552	0	22364796	74364563	0	439898	4096	15675771944	10383528	31807537	311628	15	8	1	180
1677768021	55	340040	630576	0	22364796	74666062	0	452372	4096	16589649866	10987950	33384475	329389	15	9	1	180
1677768023	57	340068	630604	0	22364796	74963182	0	464252	4096	17429410704	11543416	34780399	345010	15	9	1	180
1677768025	59	340460	630996	0	22364796	75418510	0	476132	4096	18310355806	12126037	36338167	362368	15	9	1	180
1677768027	61	340492	631028	0	22364796	75717018	0	488012	4096	19187086325	12705933	37871926	379491	15	9	1	180
1677768029	63	340516	631052	0	22364796	75991905	0	498704	4096	20037611472	13268273	39335357	395985	15	9	1	180
1677768031	65	340544	631080	0	22364796	76291015	0	510584	4096	20941668605	13866301	40802471	412413	15	9	1	180
1677768033	67	340552	631088	0	22364796	76588136	0	523544	4096	21817363997	14445365	42267031	428787	15	9	1	180
1677768035	69	340572	631108	0	22364796	76889635	0	536504	4096	22763050036	15070753	43800359	445887	15	10	1	180
