Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1677762228	1	353071	355920	0	507824	2672229	0	34536	0	75	1	333	2	0	0	1	1
1677762230	3	430704	619856	0	28094856	68697836	0	515172	4096	55707	738	56481	741	14	4	1	258
1677762232	5	325479	620236	0	28094856	68720948	0	515179	4096	80522	884	81812	889	14	5	1	258
1677762234	7	395438	693324	0	28821140	77086083	0	516104	4096	2709975	12392	2711847	12400	14	6	1	267
1677762236	9	436799	739144	0	29564764	78155369	0	524486	4096	43669851	32967	21054449	21412	14	7	1	277
1677762238	11	436888	739248	0	29564764	79370262	0	536366	4096	515891074	390909	37625693	137857	14	7	1	277
1677762240	13	434496	739284	0	29564764	80554468	0	548246	4096	845852101	636098	48334900	211163	14	7	1	277
1677762242	15	434293	739304	0	29565788	81762645	0	560654	4096	1045136310	783288	54555678	252984	15	8	1	277
1677762244	17	434313	739368	0	29565788	82939530	0	572468	4096	1069068955	801110	55341129	257955	15	8	1	277
1677762246	19	434361	739428	0	29565788	84014491	0	582830	4096	1071487766	803439	55503199	259081	15	9	1	277
1677762248	21	434508	739580	0	29565788	85241457	0	595040	4096	1071714051	803983	55588591	259546	16	10	1	277
1677762250	23	434572	739648	0	29565788	86426040	0	606920	4096	1071808143	804694	55683715	260259	16	10	1	277
1677762252	25	434630	739708	0	29565788	87495843	0	617876	4096	1071889552	805146	55765706	260714	16	11	1	277
1677762254	27	434697	739776	0	29565788	88710658	0	629162	4096	1489103646	1081507	57008249	273838	17	12	1	277
1677762256	29	434764	739844	0	29565788	89888715	0	641042	4096	3104825628	2150913	62340484	331733	17	12	1	277
1677762258	31	434956	740036	0	29565788	90929902	0	651734	4096	5439590190	3695675	70100820	415762	17	13	1	277
1677762260	33	435020	740100	0	29565788	92135352	0	664076	4096	8372539925	5636522	79493800	517620	18	13	1	277
1677762262	35	435100	740180	0	29565788	93351740	0	675692	4096	11235394714	7531149	88303641	612705	18	14	1	277
1677762264	37	435168	740248	0	29565788	94529485	0	687770	4096	14200451680	9493056	97375150	710636	18	14	1	277
1677762266	39	435228	740308	0	29565788	95704266	0	699848	4096	17103421301	11414090	106565103	809770	18	15	1	277
1677762268	41	435292	740372	0	29565788	96778165	0	710540	4096	19755982733	13169356	114540845	895232	18	15	1	277
1677762270	43	435372	740452	0	29565788	97983462	0	722420	4096	22638654187	15076724	123597250	993029	19	15	1	277
1677762272	45	435440	740520	0	29565788	99167015	0	734696	4096	25585890795	17027043	133498799	1100111	19	16	1	277
1677762274	47	435500	740580	0	29566812	100335133	0	746774	4096	28443363411	18917832	143064328	1203269	19	16	1	277
1677762276	49	435568	740648	0	29566812	101383174	0	757466	4096	30995857403	20607112	151170668	1290682	19	17	1	277
1677762278	51	435792	740872	0	29566812	102582041	0	769346	4096	33855438458	22499276	160575843	1392371	20	17	1	277
1677762280	53	435872	740952	0	29566812	103788645	0	781226	4096	36772788152	24429553	169624970	1489851	20	18	1	277
1677762282	55	435940	741020	0	29566812	104976572	0	793106	4096	39657020579	26338183	178336686	1583494	20	18	1	277
1677762284	57	436016	741096	0	29566812	106139000	0	805118	4096	42600009011	28285567	186882067	1674999	20	19	1	277
1677762286	59	436080	741160	0	29566812	107182987	0	816140	4096	45263719292	30048267	194651277	1758672	21	19	1	277
1677762288	61	436148	741228	0	29566812	108385765	0	828152	4096	48228208200	32009657	203314413	1852078	21	20	1	277
1677762290	63	436208	741288	0	29566812	109602640	0	840032	4096	51192807842	33971215	211358961	1937966	21	20	1	277
1677762292	65	436280	741360	0	29566812	110780364	0	852044	4096	54125187322	35911878	219408744	2024109	21	21	1	277
1677762294	67	436336	741416	0	29566812	111813645	0	863000	4096	56716468377	37626572	226812161	2103349	21	21	1	277
1677762296	69	436404	741484	0	29566812	113028953	0	875888	4096	59688229618	39592872	235386917	2195509	22	21	1	277
1677762298	71	436468	741548	0	29566812	114246017	0	888920	4096	62606562105	41523774	243647141	2284150	22	22	1	277
1677762300	73	436536	741616	0	29566812	115424438	0	901880	4096	65470314320	43418638	252042957	2373983	22	22	1	277
1677762302	75	436596	741676	0	29566812	116599910	0	915272	4096	68417570380	45369056	260482013	2464337	22	23	1	277
1677762304	77	436676	741756	0	29567836	117673341	0	926936	4096	71057225957	47115800	268114841	2546031	22	23	1	277
1677762306	79	436744	741824	0	29567836	118867364	0	940112	4096	73913432225	49006773	276557593	2634280	23	24	1	277
1677762308	81	436908	741988	0	29567836	120060282	0	953072	4096	76517998848	50732684	285393934	2722739	23	24	1	277
1677762310	83	436964	742044	0	29567836	121236159	0	966195	4096	78687242341	52179225	295665754	2809561	23	25	1	277
1677762312	85	437064	742144	0	29567836	122414177	0	979247	4096	80155812908	53173663	308923288	2906738	23	25	1	277
1677762314	87	437128	742208	0	29567836	123471565	0	991145	4096	81189553309	53883517	322305159	2996338	23	25	1	277
1677762316	89	437196	742276	0	29567836	124661079	0	1004342	4096	82566656967	54814241	334277990	3084606	23	26	1	277
1677762318	91	437232	742312	0	29567836	125877040	0	1017322	4096	84864286503	56345828	345525387	3181786	24	26	1	277
1677762320	93	437288	742368	0	29567836	127056606	0	1030302	4096	87538241038	58120541	356315959	3286377	24	27	1	277
1677762322	95	437348	742428	0	29567836	128232612	0	1043498	4096	90160002676	59859741	367108541	3394524	24	27	1	277
1677762324	97	437400	742480	0	29567836	129266020	0	1055396	4096	92969143156	61721325	376807541	3492461	24	27	1	277
1677762326	99	437460	742540	0	29567836	130470171	0	1068593	4096	96296444727	63926377	388537468	3611813	24	28	1	277
1677762328	101	437532	742612	0	29567836	131685813	0	1081573	4096	99668136306	66160076	399674598	3725701	25	28	1	277
1677762330	103	437648	742728	0	29567836	132860823	0	1094553	4096	103120541564	68447291	411106312	3842325	25	29	1	277
1677762332	105	437728	742808	0	29567836	134030455	0	1107749	4096	106599627569	70752329	422041831	3953704	25	29	1	277
1677762334	107	437772	742852	0	29567836	135063645	0	1119431	4096	109705176878	72809793	431936324	4054308	25	29	1	277
1677762336	109	437848	742928	0	29568860	136265265	0	1132411	4096	113156551630	75096374	443073471	4167856	25	30	1	277
1677762338	111	437900	742980	0	29568860	137446215	0	1145824	4096	116446333588	77275847	454031585	4280205	25	30	1	277
1677762340	113	437996	743076	0	29568860	138661777	0	1158804	4096	119847574924	79529151	464711905	4388545	26	30	1	277
1677762342	115	438060	743140	0	29568860	139839092	0	1171784	4096	123176944518	81735081	475278715	4495804	26	31	1	277
1677762344	117	438120	743200	0	29568860	140873411	0	1183682	4096	126186352608	83728767	484952043	4594273	26	31	1	277
1677762346	119	438192	743272	0	29568860	142055096	0	1196951	4096	129528091786	85942767	495775139	4703755	26	32	1	277
1677762348	121	438276	743356	0	29568860	143252087	0	1209931	4096	132648922791	88011204	506203227	4806391	26	32	1	277
1677762350	123	439196	744276	0	29568860	144470500	0	1223069	4096	135865916690	90143139	516492274	4906105	27	32	1	277
1677762352	125	439300	744380	0	29568860	145650096	0	1236069	4096	138861683414	92128882	526961082	5005649	27	33	1	277
1677762354	127	439376	744456	0	29568860	146818562	0	1249069	4096	141653590816	93980250	537026787	5098624	27	33	1	277
1677762356	129	439488	744568	0	29568860	147848391	0	1260993	4096	144188467151	95661167	545858532	5178941	27	34	1	277
1677762358	131	439563	744644	0	29568860	149065853	0	1274323	4096	147298996822	97721801	555541631	5268778	27	34	1	277
1677762360	133	439774	744856	0	29569884	150284756	0	1287382	4096	150376866339	99760606	565086319	5358258	28	35	1	277
1677762362	135	439849	744944	0	29569884	151458148	0	1300566	4096	153351114209	101731990	574973031	5449795	28	35	1	277
1677762364	137	439958	745040	0	29569884	152627289	0	1313759	4096	156696261099	103947811	584977818	5546569	28	36	1	277
1677762366	139	440058	745140	0	29569884	153662701	0	1325567	4096	159426409751	105756886	593597304	5622124	28	36	1	277
1677762368	141	440191	745224	0	29569884	2661588533	12866560	1879143	131072	162414538743	107736902	603489482	5716645	37	120	1	277
1677762370	143	440280	745352	0	29569884	2662767995	12866560	1892271	131072	165708644468	109918586	613562323	5814172	38	121	1	277
1677762372	145	440377	745452	0	29569884	2663975744	12866560	1905411	131072	168743416240	111930238	623597189	5907589	38	121	1	277
1677762374	147	440485	745560	0	29569884	2665157836	12866560	1918551	131072	171783107262	113944704	633323017	5997541	38	122	1	277
1677762376	149	440569	745644	0	29569884	2666336815	12866560	1931691	131072	174878720374	115995464	643763754	6098688	38	122	1	277
1677762378	151	440661	745736	0	29569884	2667372613	12866560	1943663	131072	177688781806	117856647	652605000	6181860	39	123	1	277
1677762380	153	440765	745840	0	29569884	2668580751	12866560	1956803	131072	180663656746	119828617	663332058	6278827	39	123	1	277
1677762382	155	440857	745932	0	29570908	2669779565	12866560	1969943	131072	183615312099	121785623	673610005	6373891	39	124	1	277
1677762384	157	440949	746024	0	29570908	2670972942	12866560	1983302	131072	186757706093	123867980	684225417	6476510	39	124	1	277
1677762386	159	441049	746124	0	29570908	2672163643	12866560	1996588	131072	189888585447	125942460	694191152	6571694	40	125	1	277
1677762388	161	441149	746224	0	29570892	2673199534	12866560	2007763	131072	192643216484	127767700	703673210	6659781	40	125	1	276
1677762390	163	444421	749900	0	29573032	2674391498	12866560	2018646	131072	195611452401	129733642	713681834	6742093	40	126	1	275
1677762392	165	444389	749868	0	29564788	2675581239	12866560	2027278	131072	197899680997	131248754	720773696	6810768	40	126	1	272
1677762394	167	444389	749868	0	29564788	2676777095	12866560	2033118	131072	199306293595	132180585	724744357	6848999	40	127	1	272
1677762396	169	444333	749812	0	29548364	2677958905	12866560	2036269	131072	199907646359	132579194	726700890	6866159	41	127	1	270
1677762398	171	444337	749816	0	29548364	2679125209	12866560	2039262	131072	200359239082	132878714	728495967	6883629	41	128	1	270
1677762400	173	444337	749816	0	29548364	2680160274	12866560	2041890	131072	200519616817	132985782	729071268	6888546	41	128	1	270
1677762402	175	442293	747772	0	29540152	2681338948	12866560	2043648	131072	200597601227	133038002	729735239	6891517	41	128	1	269
1677762404	177	442293	747772	0	29540152	2682544186	12866560	2045108	131072	200637313779	133065167	729968209	6893330	41	128	1	269
1677762406	179	442293	747772	0	29540152	2683732381	12866560	2046568	131072	200637441221	133065810	730095053	6893958	41	129	1	269
1677762408	181	442293	747772	0	29540152	2684929770	12866560	2048028	131072	200637710966	133066548	730223516	6894605	41	129	1	269
1677762410	183	442293	747772	0	29540152	2686111516	12866560	2049488	131072	200703496099	133110962	730573161	6897673	42	129	1	269
1677762412	185	442293	747772	0	29540152	2687277395	12866560	2050948	131072	200777943620	133160984	730893663	6900326	42	130	1	269
1677762414	187	442293	747772	0	29540152	2688312905	12866560	2052262	131072	200834336855	133199245	731175571	6902673	42	130	1	269
1677762416	189	442293	747772	0	29540152	2689493231	12866560	2053795	131072	200905738396	133247083	731478135	6905070	42	130	1	269
1677762418	191	442293	747772	0	29540152	2690696944	12866560	2055255	131072	200971495027	133291201	731776856	6907437	42	130	1	269
1677762420	193	543348	850504	0	29639008	2690887044	12866560	2288163	368640	200972525840	133292232	732808536	6908472	42	132	1	259
1677762422	195	452767	760448	0	32488308	2691267789	12866560	2617467	688128	200972746381	133295668	733092230	6912558	42	134	1	258
