Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1677866694	1	22189	26876	0	66392	2010699	0	0	0	0	0	0	0	0	0	1	1
1677866696	3	523780	527144	0	795436	45652873	0	36404	0	2753	28	3733	36	0	1	1	1
1677866698	5	581174	585324	0	1251820	47999649	0	36550	0	233413	404	45254	341	0	3	1	6
1677866700	7	625146	629296	0	1297036	47999649	0	36550	0	233882	409	46362	350	0	5	1	6
1677866702	9	652510	656660	0	1326184	47999649	0	36550	0	234164	413	47103	355	0	7	1	6
1677866704	11	667350	671500	0	1337520	47999649	0	36596	0	234380	416	47967	360	0	9	1	6
1677866706	13	672098	676248	0	1342764	48000905	0	36596	0	240611	443	52958	395	0	11	1	6
1677866708	15	689346	693496	0	1535056	48816506	0	37154	0	1128295	1162	90200	640	0	12	1	6
1677866710	17	700258	704408	0	1604684	49088841	0	37366	0	1425861	1413	104428	736	0	14	1	6
1677866712	19	792770	796920	0	1745140	90966557	0	37446	0	45854298	30934	252072	2196	0	16	1	7
1677866714	21	799162	803312	0	1749920	134050093	0	37446	0	91560466	61284	434483	4090	0	17	1	7
1677866716	23	799156	803312	0	1749920	134050820	0	37446	0	91562831	61304	437149	4110	0	17	1	7
1677866718	25	795200	799356	0	1745932	159576706	0	37446	0	118650341	79347	546710	5199	0	18	1	7
1677866720	27	799532	803688	0	1750244	228763518	0	37446	0	192020140	127944	744356	7269	0	19	1	7
1677866722	29	764412	768592	0	1714904	312526170	0	37446	0	280890943	187004	1069297	10556	0	21	1	7
1677866724	31	794536	798716	0	1745124	339060951	0	37446	0	309049881	205764	1173806	11572	0	22	1	7
1677866726	33	806864	811044	0	1778776	418576234	0	37446	0	393399262	261789	1442249	14232	0	24	1	7
1677866728	35	774232	778412	0	1716664	497853285	0	37446	0	477486979	317565	1729303	17210	0	27	1	7
1677866730	37	807920	812100	0	1779716	565296781	0	37446	0	549032087	365078	1993276	19871	0	29	1	7
1677866732	39	803244	807424	0	1745700	654311759	0	37446	0	643447541	427685	2260755	22526	1	31	1	7
1677866734	41	804724	808904	0	1747172	710077920	0	37446	0	702587266	466902	2409648	23965	1	33	1	7
1677866736	43	801888	806068	0	1744316	788127316	0	37446	0	785372584	521848	2661614	26492	1	35	1	7
1677866738	45	807496	811652	0	1749516	881736960	0	37446	0	884649482	587635	2936298	29272	1	37	1	7
1677866740	47	808238	812388	0	1750240	953499630	0	37446	0	960761841	638093	3164476	31587	1	40	1	7
1677866742	49	802658	806808	0	1744648	1033819960	0	37446	0	1045939473	694509	3373544	33655	1	42	1	7
1677866744	51	765234	769384	0	1711312	1091260552	0	37446	0	1106857000	734881	3558356	35487	1	43	1	7
1677866746	53	808934	813084	0	1780172	1174988303	0	37446	0	1195654669	793721	3784910	37765	1	45	1	7
1677866748	55	771722	775872	0	1711312	1252178274	0	37446	0	1277535236	848063	4034726	40248	1	47	1	7
1677866750	57	809258	813408	0	1748816	1331054954	0	37446	0	1361181391	903444	4221131	42166	1	49	1	7
1677866752	59	758606	762756	0	1682016	1372521088	0	37446	0	1405165266	932635	4349609	43427	1	50	1	7
1677866754	61	809766	813916	0	1810656	1459963248	0	37446	0	1497892774	994027	4603345	46067	1	52	1	7
1677866756	63	782874	787024	0	1780896	1545993007	0	37446	0	1589134558	1054511	4850305	48502	1	54	1	7
1677866758	65	817358	821508	0	1815584	1646416150	0	37446	0	1695626095	1125005	5102689	51100	2	56	1	7
1677866760	67	775502	779652	0	1714844	1672186835	0	37446	0	1722961221	1143152	5193404	51956	2	57	1	7
1677866762	69	807726	811876	0	1747180	1787270944	0	37446	0	1844999421	1223927	5482031	54971	2	59	1	7
1677866764	71	801642	805792	0	1743132	1884600051	0	37446	0	1948211524	1292264	5737086	57536	2	61	1	7
1677866766	73	778214	782364	0	1780872	1948253690	0	37446	0	2015722000	1337007	5910370	59312	2	63	1	7
1677866768	75	812842	816992	0	1815600	2023945713	0	37446	0	2095991674	1390166	6115197	61403	2	64	1	7
1677866770	77	811278	815428	0	1809756	2099959239	0	37446	0	2176596394	1443520	6291296	63171	2	66	1	7
1677866772	79	809678	813828	0	1749080	2141664810	0	37446	0	2220823612	1472815	6407999	64297	2	67	1	7
1677866774	81	801350	805500	0	1742792	2195680838	0	37446	0	2278105919	1510748	6562374	65890	2	68	1	7
1677866776	83	788254	792404	0	1727644	2287321017	0	37446	0	2375286423	1575098	6806510	68348	2	70	1	7
1677866778	85	809842	813992	0	1809976	2385598270	0	37446	0	2479501700	1644087	7083532	71235	2	72	1	7
1677866780	87	776218	780368	0	1715440	2476914861	0	37446	0	2576348596	1708271	7350147	73896	2	74	1	7
1677866782	89	782382	786532	0	1780084	2578587989	0	37446	0	2684169547	1779667	7629340	76755	2	76	1	7
1677866784	91	776094	780244	0	1715256	2663004213	0	37446	0	2773706016	1839037	7858313	79031	3	78	1	7
1677866786	93	774722	778872	0	1713876	2716712946	0	37446	0	2830726054	1876809	8003940	80484	3	80	1	7
1677866788	95	817282	821432	0	1815308	2803283518	0	37446	0	2922461485	1937517	8191198	82401	3	81	1	7
1677866790	97	811830	815980	0	1751096	2879070549	0	37446	0	3002833143	1990745	8429777	84864	3	83	1	7
1677866792	99	811830	815980	0	1751096	2879070549	0	37446	0	3002833293	1990747	8430443	84868	3	83	1	7
1677866794	101	776326	780476	0	1715464	2879911411	0	37446	0	3003728674	1991374	8446117	84967	3	83	1	7
1677866796	103	801834	805984	0	1743148	2987247234	0	37446	0	3117544747	2066689	8690865	87486	3	85	1	7
1677866798	105	775806	779956	0	1714840	3084935781	0	37446	0	3221142497	2135303	8967057	90310	3	87	1	7
1677866800	107	804258	808408	0	1808900	3175545120	0	37446	0	3317226002	2198913	9175487	92361	3	90	1	7
1677866802	109	763434	767584	0	1776848	3218749827	0	37446	0	3363044016	2229271	9281042	93334	3	91	1	7
1677866804	111	758986	763136	0	1682016	3260285928	0	37446	0	3407094178	2258464	9406525	94595	3	91	1	7
1677866806	113	776410	780560	0	1715432	3317717399	0	37446	0	3467992517	2298758	9520792	95758	3	92	1	7
1677866808	115	810214	814364	0	1749228	3400865780	0	37446	0	3556168409	2357149	9740603	97959	3	94	1	7
1677866810	117	804182	808332	0	1806528	3473255509	0	37446	0	3632930579	2407962	9888723	99421	3	96	1	7
1677866812	119	811222	815372	0	1811400	3559948878	0	37446	0	3724860222	2468809	10062957	101101	3	98	1	7
1677866814	121	804058	808208	0	1743068	3662469293	0	37446	0	3833571694	2540758	10283465	103310	4	100	1	7
1677866816	123	782522	786672	0	1721532	3742130950	0	37446	0	3918046134	2596683	10469038	105141	4	102	1	7
1677866818	125	810954	815104	0	1749952	3793658232	0	37446	0	3972690504	2632876	10577588	106186	4	103	1	7
1677866820	127	775038	779188	0	1713908	3852480949	0	37446	0	4035066390	2674168	10698492	107376	4	104	1	7
1677866822	129	788090	792240	0	1727088	3914218719	0	37446	0	4100574641	2717573	10825601	108619	4	105	1	7
1677866824	131	810922	815072	0	1749920	3968540794	0	37446	0	4158136414	2755634	10941724	109781	4	107	1	7
1677866826	133	814266	818416	0	1814596	4060095634	0	37446	0	4255221198	2819896	11124356	111556	4	109	1	7
1677866828	135	814438	818588	0	1814596	4060095634	0	37446	0	4255221483	2819900	11125223	111563	4	109	1	7
1677866830	137	804190	808340	0	1743012	4143464778	0	37446	0	4343631662	2878445	11351159	113870	4	111	1	7
1677866832	139	792814	796964	0	1731624	4241109360	0	37446	0	4447174430	2946985	11565226	115986	4	113	1	7
1677866834	141	793422	797572	0	1795640	4337710939	0	37446	0	4549610615	3014787	11794789	118283	4	115	1	7
1677866836	143	776610	780760	0	1715292	4400577667	0	37446	0	4616278476	3058949	11932546	119564	4	116	1	7
1677866838	145	810674	814824	0	1749484	4495784737	0	37446	0	4717235267	3125769	12149425	121754	4	118	1	7
1677866840	147	811802	815952	0	1750540	4588304034	0	37446	0	4815341584	3190697	12338751	123628	4	120	1	7
1677866842	149	809266	813416	0	1748076	4691645104	0	37446	0	4924923134	3263218	12554131	125760	5	122	1	7
1677866844	151	776154	780304	0	1714836	4772105972	0	37446	0	5010247107	3319723	12726422	127389	5	124	1	7
1677866846	153	807046	811196	0	1809220	4857704265	0	37446	0	5101014744	3379790	12902473	129155	5	126	1	7
1677866848	155	813430	817580	0	1811016	4959477841	0	37446	0	5208937584	3451232	13141103	131593	5	129	1	7
1677866850	157	799482	803632	0	1738284	5027320580	0	37446	0	5280881051	3498878	13303909	133158	5	130	1	7
1677866852	159	807234	811384	0	1804904	5117301402	0	37446	0	5376296732	3562034	13480962	134868	5	132	1	7
1677866854	161	814610	818760	0	1812032	5188855528	0	37446	0	5452173033	3612260	13629873	136321	5	134	1	7
1677866856	163	782834	786984	0	1780372	5210799292	0	37446	0	5475444136	3627681	13696214	136972	5	134	1	7
1677866858	165	811814	815964	0	1750516	5312587208	0	37446	0	5583382242	3699136	13897388	138952	5	136	1	7
1677866860	167	807750	811900	0	1746540	5391131977	0	37446	0	5666671505	3754270	14057529	140511	5	138	1	7
1677866862	169	780870	785020	0	1780760	5462319659	0	37446	0	5742159529	3804242	14211778	142021	5	140	1	7
1677866864	171	812230	816380	0	1809760	5524384810	0	37446	0	5807972378	3847798	14331500	143222	5	141	1	7
1677866866	173	811354	815504	0	1808900	5621756085	0	37446	0	5911228424	3916161	14543375	145286	5	143	1	7
1677866868	175	776282	780432	0	1714928	5699828757	0	37446	0	5994022419	3970997	14727371	147090	6	145	1	7
1677866870	177	774958	779108	0	1713572	5797812691	0	37446	0	6097922508	4039752	14955541	149417	6	147	1	7
1677866872	179	776050	780200	0	1714664	5886727284	0	37446	0	6192208836	4102174	15142392	151240	6	149	1	7
1677866874	181	815598	819748	0	1813144	5973276004	0	37446	0	6283984118	4162916	15306728	152866	6	151	1	7
1677866876	183	813402	817552	0	1815604	6039050576	0	37446	0	6353731216	4209079	15446853	154242	6	152	1	7
1677866878	185	790114	794264	0	1787512	6106832919	0	37446	0	6425606770	4256648	15593406	155706	6	153	1	7
1677866880	187	805146	809296	0	1743836	6198157399	0	37446	0	6522446288	4320739	15799502	157775	6	155	1	7
1677866882	189	809494	813644	0	1809492	6282627008	0	37446	0	6612019199	4380042	15982406	159576	6	157	1	7
1677866884	191	776222	780372	0	1714784	6373561567	0	37446	0	6708447011	4443877	16173603	161446	6	159	1	7
1677866886	193	812542	816692	0	1809856	6457567470	0	37446	0	6797525946	4502834	16361680	163351	6	161	1	7
1677866888	195	790350	794500	0	1729032	6561480286	0	37446	0	6907720083	4575800	16594579	165632	6	163	1	7
1677866890	197	775486	779636	0	1714028	6633624226	0	37446	0	6984232071	4626504	16833552	168069	6	165	1	7
